Code;Libellé;Médiane du revenu disponible par UC 2018;Part des revenus d'activité 2018;
02242;Crouttes-sur-Marne;22830;N/A
02243;Crouy;19910;68.8
02244;Crupilly;N/A;N/A
02245;Cuffies;20420;N/A
02246;Cugny;21470;N/A
02248;Cuirieux;17770;N/A
02249;Cuiry-Housse;22100;N/A
02250;Cuiry-lès-Chaudardes;N/A;N/A
02251;Cuiry-lès-Iviers;N/A;N/A
02252;Cuissy-et-Geny;N/A;N/A
02253;Cuisy-en-Almont;23410;N/A
02254;Cutry;23310;N/A
02255;Cys-la-Commune;20300;N/A
02256;Dagny-Lambercy;16780;N/A
02257;Dallon;25870;N/A
02258;Dammard;22120;N/A
02259;Dampleux;25310;N/A
02260;Danizy;17610;N/A
02261;Dercy;21170;N/A
02262;Deuillet;21760;N/A
02263;Dhuizel;19610;N/A
02264;Dizy-le-Gros;16950;N/A
02265;Dohis;N/A;N/A
02266;Dolignon;N/A;N/A
02267;Dommiers;22200;N/A
02268;Domptin;22660;N/A
02269;Dorengt;21400;N/A
02270;Douchy;17820;N/A
02271;Dravegny;19410;N/A
02272;Droizy;N/A;N/A
02273;Dury;21950;N/A
02274;Ébouleau;19230;N/A
02275;Effry;15260;N/A
02276;Englancourt;22060;N/A
02277;Épagny;20070;N/A
02278;Éparcy;N/A;N/A
02279;Épaux-Bézu;23850;N/A
02280;Épieds;22740;N/A
02281;L'Épine-aux-Bois;21040;N/A
02282;Eppes;20960;N/A
02283;Erlon;19290;N/A
02284;Erloy;N/A;N/A
02286;Esquéhéries;19960;N/A
02287;Essigny-le-Grand;24120;N/A
02288;Essigny-le-Petit;19110;N/A
02289;Essises;23730;N/A
02290;Essômes-sur-Marne;22390;75.9
02291;Estrées;19960;N/A
02292;Étampes-sur-Marne;21030;N/A
02293;Étaves-et-Bocquiaux;20220;N/A
02294;Étouvelles;25030;N/A
02295;Étréaupont;17630;N/A
02296;Étreillers;21370;N/A
02297;Étrépilly;22890;N/A
02298;Étreux;18970;N/A
02299;Évergnicourt;21740;N/A
02302;Faverolles;22530;N/A
02303;Fayet;30710;N/A
02304;La Fère;15250;60.6
02305;Fère-en-Tardenois;17820;60
02306;La Ferté-Chevresis;19050;N/A
02307;La Ferté-Milon;21840;74.6
02308;Fesmy-le-Sart;19010;N/A
02309;Festieux;20010;N/A
02310;Fieulaine;21780;N/A
02311;Filain;21320;N/A
02312;La Flamengrie;20050;N/A
02313;Flavigny-le-Grand-et-Beaurain;18960;N/A
02315;Flavy-le-Martel;20180;N/A
02316;Fleury;23540;N/A
02317;Fluquières;24970;N/A
02318;Folembray;18890;N/A
02319;Fonsomme;18230;N/A
02320;Fontaine-lès-Clercs;24500;N/A
02321;Fontaine-lès-Vervins;20680;N/A
02322;Fontaine-Notre-Dame;23470;N/A
02323;Fontaine-Uterte;21520;N/A
02324;Fontenelle;18870;N/A
02326;Fontenoy;22950;N/A
02327;Foreste;18530;N/A
02328;Fossoy;24520;N/A
02329;Fourdrain;22280;N/A
02330;Francilly-Selency;24360;N/A
02331;Franqueville;17530;N/A
02332;Fresnes-en-Tardenois;20910;N/A
02333;Fresnes-sous-Coucy;18980;N/A
02334;Fresnoy-le-Grand;17800;64
02335;Fressancourt;20910;N/A
02336;Frières-Faillouël;22660;N/A
02337;Froidestrées;19290;N/A
02338;Froidmont-Cohartille;19000;N/A
02339;Gandelu;21680;N/A
02340;Gauchy;19420;63.9
02341;Gercy;21730;N/A
02342;Gergny;19110;N/A
02343;Germaine;N/A;N/A
02345;Gibercourt;N/A;N/A
02346;Gizy;20230;N/A
